"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.48058798121536e-70,3.63462798554365,0.507,0.052,4.86182959813615e-66,"5","LOC102685229"
1.54557759310684e-24,1.13764436617263,0.89,0.589,1.37108188284507e-20,"5","LOC102692297"
3.12651007772192e-22,1.02973556987659,0.897,0.607,2.77352708994711e-18,"5","myl1"
1.58558032225584e-21,1.01020082524378,0.904,0.581,1.40656830387316e-17,"5","ckma"
8.67885230414738e-20,1.07498143644244,0.849,0.498,7.69900987900914e-16,"5","tpm1"
1.78443762442579e-19,0.9639465403459,0.89,0.616,1.58297461662812e-15,"5","LOC102684028"
2.38018786885354e-18,0.663119210104937,1,0.883,2.11146465845998e-14,"5","LOC102682520"
5.66954741772442e-18,0.965630252965561,0.863,0.58,5.02945551426334e-14,"5","actc1a"
1.2673847154095e-17,0.882656349689574,0.87,0.57,1.12429698103976e-13,"5","LOC102692097"
4.19060918905409e-17,0.764553847382788,0.966,0.703,3.71748941160988e-13,"5","LOC102685487"
7.89657559122986e-16,1.02435140474778,0.753,0.446,7.00505220698001e-12,"5","LOC102696099"
3.52672590103994e-15,0.825152085335292,0.884,0.544,3.12855854681253e-11,"5","LOC138238244"
2.29421376943554e-13,0.89164421489187,0.788,0.499,2.03519703486627e-09,"5","LOC102697246"
1.62491228934724e-09,0.835696082157876,0.637,0.383,1.44145969187994e-05,"5","LOC102685697"
3.24615551833548e-09,0.770907518980707,0.664,0.41,2.87966456031541e-05,"5","LOC102686858"
2.31799861229335e-08,1.04290959425694,0.459,0.251,0.000205629656896543,"5","eno1a"
6.26294305191901e-08,0.609343277492241,0.705,0.474,0.000555585678135736,"5","casq1b"
1.038690227282e-07,0.904888513793995,0.527,0.323,0.000921422100621864,"5","unm-hu7910"
2.46996849343192e-07,1.28132884045076,0.253,0.106,0.00219110905052345,"5","LOC102688236"
3.66496666046353e-07,0.828045370408843,0.5,0.297,0.00325119192449719,"5","ybx1"
1.77630186038806e-06,0.793563829334064,0.479,0.289,0.0157575738035025,"5","mybpha"
4.14773380827399e-06,0.912747370133813,0.548,0.382,0.0367945466131986,"5","LOC138230019"
7.2407042238644e-06,0.629463783588454,0.575,0.381,0.0642322871699011,"5","LOC138238231"
1.26697769712424e-05,0.768657769165773,0.418,0.246,0.112393591511892,"5","fxr2"
2.59646086873759e-05,0.805303365952824,0.432,0.28,0.230332043665711,"5","actc2"
2.90367604258743e-05,0.315110856841386,1,0.95,0.257585101737931,"5","ttn.2"
0.000149116503542528,0.807001969140641,0.363,0.23,1,"5","jph1a"
0.000508669746708624,0.716492413192946,0.322,0.198,1,"5","LOC107076706"
